player,team,minute,second,x,y,outcome,body_part,shot_type,first_time,statsbomb_xg,goal,distance,angle,xg_baseline,xg_improved,diff_baseline_statsbomb,diff_improved_statsbomb
Lionel Andrés Messi Cuccittini,Barcelona,2,29,111.5,52.9,Off T,Right Foot,Open Play,True,0.07699243,0,15.448624534242521,0.26948963534238596,0.11646460855952818,0.14823879404390944,0.039472178559528184,0.07124636404390944
Jordi Alba Ramos,Barcelona,5,39,113.9,26.4,Off T,Left Foot,Open Play,True,0.05166811,0,14.905368160498417,0.21070233581451334,0.11795139182680577,0.14204882274805253,0.06628328182680576,0.09038071274805252
Lionel Andrés Messi Cuccittini,Barcelona,15,29,93.7,34.7,Saved,Left Foot,Open Play,False,0.016932096,0,26.828715958837833,0.26607509184950795,0.04133199854829909,0.028709381014625626,0.024399902548299088,0.011777285014625626
Rubén Sobrino Pozuelo,Deportivo Alavés,16,20,109.2,39.1,Off T,Head,Open Play,False,0.1226044,0,10.837435120913064,0.6497160417770154,0.21031904406315133,0.07087981580450835,0.08771464406315133,-0.051724584195491655
Luis Alberto Suárez Díaz,Barcelona,18,16,107.8,24.7,Off T,Right Foot,Open Play,False,0.041750744,0,19.568597292601225,0.2371199037295421,0.0793270214343877,0.06575679275197667,0.037576277434387705,0.02400604875197667
Ousmane Dembélé,Barcelona,30,42,108.6,27.8,Wayward,Left Foot,Open Play,True,0.07606251,0,16.69730517179344,0.30463154452275476,0.10664450663726152,0.12741805665910858,0.03058199663726152,0.051355546659108575
Ivan Rakitić,Barcelona,35,5,112.5,41.7,Off T,Head,Open Play,False,0.11251298,0,7.6902535718921525,0.8761182524894635,0.2963254463287215,0.11682533724647837,0.1838124663287215,0.004312357246478368
Lionel Andrés Messi Cuccittini,Barcelona,37,28,96.5,52.6,Post,Left Foot,Free Kick,False,0.049073674,0,26.66477076593759,0.24176028703482286,0.04133158392998816,0.06906130201745526,-0.007742090070011837,0.019987628017455267
Gerard Piqué Bernabéu,Barcelona,37,31,112.4,41.0,Off T,Head,Open Play,False,0.11562012,0,7.665507158694714,0.8867131072626548,0.29829573967083933,0.11804375813688794,0.18267561967083934,0.0024236381368879373
Ousmane Dembélé,Barcelona,38,28,102.5,30.1,Saved,Right Foot,Open Play,True,0.12335509,0,20.106217943710845,0.3167037499175889,0.07932223645234669,0.09613669624596069,-0.04403285354765331,-0.02721839375403931
Luis Alberto Suárez Díaz,Barcelona,40,35,110.0,27.7,Wayward,Right Foot,Open Play,True,0.14326301,0,15.852129194527782,0.298505548180977,0.11438595718968668,0.14552520336524566,-0.028877052810313317,0.0022621933652456627
Ousmane Dembélé,Barcelona,43,31,106.1,32.6,Off T,Right Foot,Open Play,True,0.082343094,0,15.74706321826391,0.40926342889363976,0.12312456185233887,0.15911912721953508,0.04078146785233887,0.07677603321953508
